,index_code,con_code,in_date,out_date,is_new
0,850111.SI,000713.SZ,19970422,,Y
1,850111.SI,000918.SZ,19990720,20100317,N
2,850111.SI,000998.SZ,20001211,,Y
3,850111.SI,002041.SZ,20050418,,Y
4,850111.SI,300087.SZ,20100603,,Y
5,850111.SI,300189.SZ,20110324,,Y
6,850111.SI,600248.SH,20000622,20070215,N
7,850111.SI,600248.SH,20070226,20070525,N
8,850111.SI,600248.SH,20081230,20100601,N
9,850111.SI,600313.SH,20010119,20100525,N
10,850111.SI,600313.SH,20181226,,Y
11,850111.SI,600354.SH,20070703,,Y
12,850111.SI,600371.SH,20111010,,Y
0,850112.SI,000722.SZ,19970522,20061009,N
1,850112.SI,000829.SZ,19971202,20061009,N
2,850112.SI,002772.SZ,20150703,20211210,N
3,850112.SI,300143.SZ,20101217,20180713,N
4,850112.SI,300511.SZ,20160511,20211210,N
5,850112.SI,300970.SZ,20210419,20211210,N
6,850112.SI,300972.SZ,20210426,20211210,N
7,850112.SI,600251.SH,20030609,20080602,N
8,850112.SI,600506.SH,20011226,20110930,N
9,850112.SI,600598.SH,20111010,20211210,N
10,850112.SI,600762.SH,19961025,20060724,N
11,850112.SI,601952.SH,20170522,20211210,N
0,850113.SI,600108.SH,20111010,,Y
1,850113.SI,600354.SH,20040115,20070702,N
2,850113.SI,600359.SH,19990429,,Y
3,850113.SI,600506.SH,20111010,20220729,N
4,850113.SI,600540.SH,20040107,,Y
5,850113.SI,600598.SH,20020329,20110930,N
6,850113.SI,601118.SH,20110117,,Y
7,850113.SI,603336.SH,20161201,,Y
0,850121.SI,000798.SZ,19980212,20211210,N
1,850121.SI,600097.SH,20100602,20211210,N
0,850122.SI,002069.SZ,20061013,,Y
1,850122.SI,002086.SZ,20061206,20220729,N
2,850122.SI,002173.SZ,20111010,20180713,N
3,850122.SI,002220.SZ,20080307,20090601,N
4,850122.SI,002447.SZ,20100721,20180713,N
5,850122.SI,002696.SZ,20120912,20220729,N
6,850122.SI,300094.SZ,20100716,,Y
7,850122.SI,600242.SH,20001207,20070525,N
8,850122.SI,600242.SH,20090623,20110930,N
9,850122.SI,600257.SH,20000612,,Y
10,850122.SI,600275.SH,20000810,20110930,N
11,850122.SI,600275.SH,20180716,20220524,N
12,850122.SI,600467.SH,20040405,,Y
0,850131.SI,000592.SZ,20140702,20211210,N
1,850131.SI,000663.SZ,19961206,20160630,N
2,850131.SI,002200.SZ,20080102,20130628,N
3,850131.SI,002310.SZ,20091207,20100601,N
4,850131.SI,002679.SZ,20120612,20211210,N
5,850131.SI,600189.SH,19981007,20190705,N
6,850131.SI,600265.SH,20000825,20211210,N
0,850142.SI,000702.SZ,19991230,20060328,N
1,850142.SI,000702.SZ,20060330,,Y
2,850142.SI,001366.SZ,20230314,,Y
3,850142.SI,002100.SZ,20070105,,Y
4,850142.SI,002385.SZ,20100416,,Y
5,850142.SI,002548.SZ,20110225,,Y
6,850142.SI,002567.SZ,20110401,,Y
7,850142.SI,603151.SH,20221026,,Y
8,850142.SI,603363.SH,20171010,,Y
9,850142.SI,603609.SH,20140815,,Y
0,850151.SI,000626.SZ,19961128,20110930,N
1,850151.SI,000972.SZ,20070703,,Y
2,850151.SI,300175.SZ,20110223,,Y
3,850151.SI,600180.SH,19980703,20130628,N
4,850151.SI,600251.SH,20150701,20151102,N
5,850151.SI,600251.SH,20160701,,Y
6,850151.SI,600537.SH,20030123,20100601,N
7,850151.SI,600737.SH,20070703,20170630,N
8,850151.SI,600962.SH,20111010,,Y
9,850151.SI,605198.SH,20200925,,Y
0,850152.SI,000019.SZ,20211213,,Y
1,850152.SI,000505.SZ,20180716,,Y
2,850152.SI,000639.SZ,20111010,20190705,N
3,850152.SI,000639.SZ,20211213,,Y
4,850152.SI,000672.SZ,20030103,20070511,N
5,850152.SI,000672.SZ,20130502,20130628,N
6,850152.SI,000893.SZ,20100318,20190705,N
7,850152.SI,000930.SZ,20040102,20110930,N
8,850152.SI,002852.SZ,20170317,,Y
9,850152.SI,300999.SZ,20201022,,Y
10,850152.SI,600127.SH,19980506,,Y
11,850152.SI,600311.SH,20010626,20110930,N
12,850152.SI,600543.SH,20040324,20070702,N
13,850152.SI,600703.SH,19960528,20070525,N
14,850152.SI,600703.SH,20080710,20090601,N
15,850152.SI,600893.SH,19960408,20070702,N
16,850152.SI,603182.SH,20220919,,Y
17,850152.SI,603231.SH,20231222,,Y
0,850154.SI,000576.SZ,20111010,20130628,N
1,850154.SI,000576.SZ,20180612,20200622,N
2,850154.SI,000911.SZ,20111010,,Y
3,850154.SI,000930.SZ,20111010,,Y
4,850154.SI,001338.SZ,20221123,,Y
5,850154.SI,002220.SZ,20111010,20200629,N
6,850154.SI,002286.SZ,20111010,,Y
7,850154.SI,002481.SZ,20211213,,Y
8,850154.SI,002604.SZ,20111010,20190510,N
9,850154.SI,002661.SZ,20211213,20230403,N
10,850154.SI,003030.SZ,20211213,,Y
11,850154.SI,300138.SZ,20111010,,Y
12,850154.SI,300149.SZ,20111010,20190515,N
13,850154.SI,300268.SZ,20111011,,Y
14,850154.SI,300829.SZ,20200429,20211210,N
15,850154.SI,600191.SH,20111010,,Y
16,850154.SI,600298.SH,20111010,20211210,N
17,850154.SI,600737.SH,20170703,,Y
18,850154.SI,600873.SH,20170703,20211210,N
19,850154.SI,605016.SH,20210428,20211210,N
0,850172.SI,000735.SZ,19991230,,Y
1,850172.SI,000876.SZ,19991230,,Y
2,850172.SI,001201.SZ,20210510,,Y
3,850172.SI,002124.SZ,20070410,,Y
4,850172.SI,002157.SZ,20070824,20231207,N
5,850172.SI,002157.SZ,20231211,,Y
6,850172.SI,002714.SZ,20140211,,Y
7,850172.SI,300498.SZ,20151109,,Y
8,850172.SI,600975.SH,20040616,,Y
9,850172.SI,603477.SH,20220125,,Y
10,850172.SI,605296.SH,20210604,,Y
0,850173.SI,002234.SZ,20080523,,Y
1,850173.SI,002299.SZ,20091028,,Y
2,850173.SI,002458.SZ,20100817,,Y
3,850173.SI,002746.SZ,20150302,,Y
4,850173.SI,002982.SZ,20200506,,Y
5,850173.SI,300761.SZ,20190225,,Y
6,850173.SI,300967.SZ,20210420,,Y
7,850173.SI,301116.SZ,20220125,,Y
0,850181.SI,002100.SZ,20111010,20150630,N
1,850181.SI,002688.SZ,20120720,,Y
2,850181.SI,002868.SZ,20170510,,Y
3,850181.SI,300119.SZ,20111010,,Y
4,850181.SI,300186.SZ,20111010,20151029,N
5,850181.SI,300871.SZ,20200831,,Y
6,850181.SI,600195.SH,20111010,,Y
7,850181.SI,600201.SH,20111010,,Y
8,850181.SI,600226.SH,20111010,20190705,N
9,850181.SI,600538.SH,20111010,20120629,N
10,850181.SI,603566.SH,20150525,,Y
11,850181.SI,603718.SH,20150522,,Y
12,850181.SI,603739.SH,20190123,20220729,N
13,850181.SI,688098.SH,20230925,,Y
14,850181.SI,688526.SH,20230925,,Y
0,850321.SI,000683.SZ,19970131,20110930,N
1,850321.SI,000683.SZ,20150701,20211210,N
2,850321.SI,000707.SZ,19970415,20211210,N
3,850321.SI,000719.SZ,19970331,20080122,N
4,850321.SI,000822.SZ,19980703,20211210,N
5,850321.SI,002061.SZ,20060831,20110930,N
6,850321.SI,002217.SZ,20080228,20080602,N
7,850321.SI,600229.SH,20000309,20160630,N
8,850321.SI,600409.SH,20030618,20211210,N
9,850321.SI,603077.SH,20120807,20211210,N
0,850322.SI,000422.SZ,20170703,20220729,N
1,850322.SI,000510.SZ,19930507,,Y
2,850322.SI,000635.SZ,20070703,,Y
3,850322.SI,000698.SZ,19970220,20100601,N
4,850322.SI,000728.SZ,19970616,20070702,N
5,850322.SI,000818.SZ,19971017,20110930,N
6,850322.SI,000818.SZ,20170703,,Y
7,850322.SI,002002.SZ,20170703,,Y
8,850322.SI,002053.SZ,20060704,20180713,N
9,850322.SI,002092.SZ,20061218,,Y
10,850322.SI,002386.SZ,20100419,,Y
11,850322.SI,002748.SZ,20211213,,Y
12,850322.SI,300743.SZ,20180508,20180713,N
13,850322.SI,600075.SH,20080603,,Y
14,850322.SI,600091.SH,19970704,20220524,N
15,850322.SI,600277.SH,20170703,,Y
16,850322.SI,600281.SH,20001109,20180713,N
17,850322.SI,600301.SH,20000712,20190705,N
18,850322.SI,600319.SH,20190708,,Y
19,850322.SI,600618.SH,19921113,,Y
20,850322.SI,600722.SH,19960626,20170630,N
21,850322.SI,600722.SH,20211213,20220729,N
22,850322.SI,600746.SH,19960918,20110930,N
23,850322.SI,600769.SH,20030103,20140701,N
24,850322.SI,600810.SH,20080603,20110930,N
25,850322.SI,600929.SH,20180404,20211210,N
26,850322.SI,600935.SH,20211203,,Y
27,850322.SI,601216.SH,20110302,,Y
28,850322.SI,601568.SH,20201027,,Y
29,850322.SI,601678.SH,20100303,20110930,N
30,850322.SI,601678.SH,20190708,,Y
31,850322.SI,603213.SH,20211118,,Y
32,850322.SI,603299.SH,20160315,20211210,N
0,850323.SI,000515.SZ,19930712,20090506,N
1,850323.SI,000737.SZ,20211213,20220729,N
2,850323.SI,000861.SZ,20070703,20110930,N
3,850323.SI,002053.SZ,20180716,,Y
4,850323.SI,002125.SZ,20070411,20220729,N
5,850323.SI,002145.SZ,20070813,20110930,N
6,850323.SI,003017.SZ,20201102,,Y
7,850323.SI,300285.SZ,20120120,20211210,N
8,850323.SI,301256.SZ,20220329,,Y
9,850323.SI,600078.SH,19970627,20110930,N
10,850323.SI,600141.SH,19990616,20110930,N
11,850323.SI,600328.SH,20001222,,Y
12,850323.SI,600367.SH,20010320,,Y
13,850323.SI,600714.SH,20070703,20090601,N
14,850323.SI,600714.SH,20170703,,Y
15,850323.SI,600792.SH,20040102,20110930,N
16,850323.SI,600929.SH,20211213,,Y
17,850323.SI,603067.SH,20160922,,Y
18,850323.SI,603299.SH,20211213,,Y
19,850323.SI,603663.SH,20211213,,Y
0,850324.SI,000545.SZ,20140702,20211210,N
1,850324.SI,000691.SZ,20220801,,Y
2,850324.SI,001217.SZ,20211013,,Y
3,850324.SI,002109.SZ,20211213,,Y
4,850324.SI,002648.SZ,20121008,20211210,N
5,850324.SI,002648.SZ,20220801,,Y
6,850324.SI,002805.SZ,20160714,20220729,N
7,850324.SI,300082.SZ,20211213,,Y
8,850324.SI,300409.SZ,20190708,20211210,N
9,850324.SI,300522.SZ,20160712,20180713,N
10,850324.SI,300568.SZ,20161208,20170630,N
11,850324.SI,300655.SZ,20170601,20211210,N
12,850324.SI,300927.SZ,20210114,,Y
13,850324.SI,301037.SZ,20210806,20211210,N
14,850324.SI,301069.SZ,20211011,,Y
15,850324.SI,301118.SZ,20211125,,Y
16,850324.SI,600610.SH,20211213,,Y
17,850324.SI,600722.SH,20170703,20211210,N
18,850324.SI,600955.SH,20210924,,Y
19,850324.SI,600989.SH,20201221,20211210,N
20,850324.SI,603928.SH,20161219,20211210,N
21,850324.SI,603938.SH,20190708,20211210,N
22,850324.SI,603938.SH,20220801,,Y
0,850325.SI,000830.SZ,19991230,,Y
1,850325.SI,000990.SZ,20000713,,Y
2,850325.SI,002274.SZ,20220801,,Y
3,850325.SI,600426.SH,20020627,20220729,N
4,850325.SI,600623.SH,19991230,,Y
5,850325.SI,600722.SH,20220801,,Y
6,850325.SI,600746.SH,19991230,,Y
7,850325.SI,600844.SH,19991230,,Y
8,850325.SI,600989.SH,20190523,,Y
0,850326.SI,000545.SZ,19991230,20120504,N
1,850326.SI,000545.SZ,20130729,,Y
2,850326.SI,002136.SZ,20070606,,Y
3,850326.SI,002145.SZ,20070810,,Y
4,850326.SI,002601.SZ,20110722,,Y
5,850326.SI,300891.SZ,20200924,,Y
6,850326.SI,600727.SH,19991230,20100524,N
7,850326.SI,600727.SH,20110819,,Y
0,850335.SI,000565.SZ,19940408,20080602,N
1,850335.SI,000565.SZ,20111010,,Y
2,850335.SI,000695.SZ,19970218,20061009,N
3,850335.SI,000791.SZ,19971014,20130628,N
4,850335.SI,002010.SZ,20040629,20080602,N
5,850335.SI,002054.SZ,20060809,20080602,N
6,850335.SI,002256.SZ,20111010,20190705,N
7,850335.SI,002319.SZ,20091221,,Y
8,850335.SI,002361.SZ,20100311,20211210,N
9,850335.SI,300063.SZ,20100406,20160630,N
10,850335.SI,300192.SZ,20110330,20190705,N
11,850335.SI,300225.SZ,20110608,,Y
12,850335.SI,300398.SZ,20141016,20211210,N
13,850335.SI,300409.SZ,20141210,20190705,N
14,850335.SI,300522.SZ,20180716,,Y
15,850335.SI,300537.SZ,20160906,20211210,N
16,850335.SI,300576.SZ,20161227,20211210,N
17,850335.SI,300665.SZ,20170620,,Y
18,850335.SI,300758.SZ,20190301,,Y
19,850335.SI,301036.SZ,20210805,,Y
20,850335.SI,301037.SZ,20211213,,Y
21,850335.SI,301209.SZ,20220901,,Y
22,850335.SI,600352.SH,20030801,20080602,N
23,850335.SI,600615.SH,20020508,20070702,N
24,850335.SI,603062.SH,20231114,,Y
25,850335.SI,603110.SH,20171020,,Y
26,850335.SI,603378.SH,20171012,20211210,N
27,850335.SI,603737.SH,20160614,20211210,N
28,850335.SI,603823.SH,20161227,,Y
29,850335.SI,688129.SH,20230925,,Y
30,850335.SI,688157.SH,20230925,,Y
31,850335.SI,688571.SH,20230925,,Y
0,850337.SI,002037.SZ,20080603,,Y
1,850337.SI,002096.SZ,20080603,,Y
2,850337.SI,002109.SZ,20080603,20180713,N
3,850337.SI,002217.SZ,20080603,20150630,N
4,850337.SI,002226.SZ,20080603,,Y
5,850337.SI,002246.SZ,20170703,,Y
6,850337.SI,002360.SZ,20100311,,Y
7,850337.SI,002497.SZ,20101117,20220729,N
8,850337.SI,002683.SZ,20120619,,Y
9,850337.SI,002783.SZ,20151216,,Y
10,850337.SI,002827.SZ,20161216,,Y
11,850337.SI,002917.SZ,20171215,,Y
12,850337.SI,003002.SZ,20200929,,Y
13,850337.SI,600985.SH,20080603,20190705,N
14,850337.SI,603227.SH,20150522,,Y
15,850337.SI,603977.SH,20180716,,Y
0,850338.SI,002010.SZ,20080603,20180713,N
1,850338.SI,002054.SZ,20080603,,Y
2,850338.SI,002440.SZ,20100714,,Y
3,850338.SI,300067.SZ,20100429,,Y
4,850338.SI,300107.SZ,20211213,,Y
5,850338.SI,300535.SZ,20160819,20211210,N
6,850338.SI,300727.SZ,20171204,20211210,N
7,850338.SI,300798.SZ,20191129,,Y
8,850338.SI,300905.SZ,20211213,,Y
9,850338.SI,301190.SZ,20211231,,Y
10,850338.SI,600352.SH,20080603,,Y
11,850338.SI,603172.SH,20230517,,Y
12,850338.SI,603188.SH,20140916,,Y
13,850338.SI,603790.SH,20180919,,Y
14,850338.SI,603980.SH,20170622,,Y
15,850338.SI,605566.SH,20211101,,Y
0,850339.SI,000565.SZ,20080603,20110930,N
1,850339.SI,000627.SZ,20111010,20170630,N
2,850339.SI,000737.SZ,20190708,20211210,N
3,850339.SI,000881.SZ,20190708,,Y
4,850339.SI,000985.SZ,20140221,20211210,N
5,850339.SI,000990.SZ,20170703,20211210,N
6,850339.SI,001218.SZ,20211022,,Y
7,850339.SI,001358.SZ,20231228,,Y
8,850339.SI,002109.SZ,20180716,20211210,N
9,850339.SI,002136.SZ,20080603,20211210,N
10,850339.SI,002145.SZ,20111010,20211210,N
11,850339.SI,002211.SZ,20140221,20211210,N
12,850339.SI,002341.SZ,20190708,20211210,N
13,850339.SI,002407.SZ,20100526,20110930,N
14,850339.SI,002409.SZ,20100602,20200608,N
15,850339.SI,002453.SZ,20100728,,Y
16,850339.SI,002455.SZ,20100811,,Y
17,850339.SI,002476.SZ,20100928,20211210,N
18,850339.SI,002549.SZ,20111010,,Y
19,850339.SI,002562.SZ,20110318,20211210,N
20,850339.SI,002581.SZ,20110527,20160630,N
21,850339.SI,002584.SZ,20110610,20211210,N
22,850339.SI,002591.SZ,20140221,20180713,N
23,850339.SI,002591.SZ,20220801,,Y
24,850339.SI,002597.SZ,20110714,20201116,N
25,850339.SI,002601.SZ,20110722,20211210,N
26,850339.SI,002632.SZ,20140221,20211210,N
27,850339.SI,002637.SZ,20211213,,Y
28,850339.SI,002643.SZ,20140221,20211210,N
29,850339.SI,002648.SZ,20211213,20220729,N
30,850339.SI,002666.SZ,20120406,,Y
31,850339.SI,002669.SZ,20140221,20211210,N
32,850339.SI,002709.SZ,20140221,20211210,N
33,850339.SI,002741.SZ,20150302,20211210,N
34,850339.SI,002748.SZ,20150326,20211210,N
35,850339.SI,002802.SZ,20160706,,Y
36,850339.SI,002809.SZ,20160830,,Y
37,850339.SI,002810.SZ,20160902,,Y
38,850339.SI,002812.SZ,20190403,20211210,N
39,850339.SI,002909.SZ,20171102,20211210,N
40,850339.SI,002971.SZ,20200120,,Y
41,850339.SI,003022.SZ,20201215,20211210,N
42,850339.SI,300019.SZ,20140221,20211210,N
43,850339.SI,300035.SZ,20190708,20211210,N
44,850339.SI,300037.SZ,20140221,20211210,N
45,850339.SI,300041.SZ,20140221,20211210,N
46,850339.SI,300054.SZ,20140221,20211210,N
47,850339.SI,300072.SZ,20100506,20170630,N
48,850339.SI,300072.SZ,20190708,20211210,N
49,850339.SI,300072.SZ,20230823,,Y
50,850339.SI,300073.SZ,20140221,20211210,N
51,850339.SI,300082.SZ,20140221,20211210,N
52,850339.SI,300107.SZ,20100830,20211210,N
53,850339.SI,300108.SZ,20100902,20110930,N
54,850339.SI,300109.SZ,20100902,,Y
55,850339.SI,300116.SZ,20100910,20130628,N
56,850339.SI,300132.SZ,20101103,20211210,N
57,850339.SI,300163.SZ,20140221,,Y
58,850339.SI,300169.SZ,20140221,,Y
59,850339.SI,300174.SZ,20110216,,Y
60,850339.SI,300200.SZ,20110415,20110930,N
61,850339.SI,300214.SZ,20111010,20211210,N
62,850339.SI,300214.SZ,20220801,,Y
63,850339.SI,300236.SZ,20110706,20211210,N
64,850339.SI,300243.SZ,20110719,20211210,N
65,850339.SI,300285.SZ,20211213,20220729,N
66,850339.SI,300387.SZ,20140710,20211210,N
67,850339.SI,300405.SZ,20141106,,Y
68,850339.SI,300429.SZ,20150331,20211210,N
69,850339.SI,300437.SZ,20150430,20211210,N
70,850339.SI,300446.SZ,20170703,20211210,N
71,850339.SI,300481.SZ,20150707,20211210,N
72,850339.SI,300487.SZ,20150709,20211210,N
73,850339.SI,300530.SZ,20160816,,Y
74,850339.SI,300535.SZ,20211213,,Y
75,850339.SI,300568.SZ,20170703,20211210,N
76,850339.SI,300596.SZ,20170126,20211210,N
77,850339.SI,300596.SZ,20220801,,Y
78,850339.SI,300610.SZ,20170220,20211210,N
79,850339.SI,300610.SZ,20220801,,Y
80,850339.SI,300637.SZ,20170419,20211210,N
81,850339.SI,300637.SZ,20220801,,Y
82,850339.SI,300641.SZ,20170425,,Y
83,850339.SI,300684.SZ,20180104,20200730,N
84,850339.SI,300690.SZ,20170815,20211210,N
85,850339.SI,300721.SZ,20171122,,Y
86,850339.SI,300743.SZ,20180716,20211210,N
87,850339.SI,300769.SZ,20190422,20211210,N
88,850339.SI,300801.SZ,20191205,,Y
89,850339.SI,300806.SZ,20191202,20211210,N
90,850339.SI,300821.SZ,20200319,20211210,N
91,850339.SI,300847.SZ,20200716,,Y
92,850339.SI,300886.SZ,20200923,20211210,N
93,850339.SI,300890.SZ,20200924,20211210,N
94,850339.SI,300891.SZ,20200924,20211210,N
95,850339.SI,300910.SZ,20201204,,Y
96,850339.SI,300919.SZ,20201230,20211210,N
97,850339.SI,301010.SZ,20210625,20211210,N
98,850339.SI,301059.SZ,20210922,,Y
99,850339.SI,301065.SZ,20210923,20220729,N
100,850339.SI,301076.SZ,20211018,,Y
101,850339.SI,301077.SZ,20211014,,Y
102,850339.SI,301081.SZ,20211027,20211210,N
103,850339.SI,301092.SZ,20211109,20211210,N
104,850339.SI,301100.SZ,20211224,,Y
105,850339.SI,301149.SZ,20211117,,Y
106,850339.SI,301212.SZ,20220426,,Y
107,850339.SI,301286.SZ,20220621,,Y
108,850339.SI,301373.SZ,20230215,,Y
109,850339.SI,301518.SZ,20230810,,Y
110,850339.SI,600165.SH,20190708,,Y
111,850339.SI,600228.SH,20160701,20210823,N
112,850339.SI,600273.SH,20150701,,Y
113,850339.SI,600299.SH,20140221,20211210,N
114,850339.SI,600319.SH,20140221,20190705,N
115,850339.SI,600378.SH,20080603,20211210,N
116,850339.SI,600458.SH,20140221,20211210,N
117,850339.SI,600500.SH,20180716,,Y
118,850339.SI,600589.SH,20140221,20211210,N
119,850339.SI,600596.SH,20190708,20211210,N
120,850339.SI,600623.SH,20190708,20211210,N
121,850339.SI,600746.SH,20111010,20211210,N
122,850339.SI,600803.SH,20190708,20200831,N
123,850339.SI,600844.SH,20091012,20211210,N
124,850339.SI,603002.SH,20140221,20211210,N
125,850339.SI,603004.SH,20240104,,Y
126,850339.SI,603010.SH,20141017,20211210,N
127,850339.SI,603010.SH,20220801,,Y
128,850339.SI,603065.SH,20230328,,Y
129,850339.SI,603078.SH,20170417,20211210,N
130,850339.SI,603125.SH,20230417,,Y
131,850339.SI,603133.SH,20170327,20211210,N
132,850339.SI,603155.SH,20200908,20211210,N
133,850339.SI,603181.SH,20170831,20211210,N
134,850339.SI,603181.SH,20220801,,Y
135,850339.SI,603217.SH,20190628,,Y
136,850339.SI,603255.SH,20220825,,Y
137,850339.SI,603276.SH,20231010,,Y
138,850339.SI,603650.SH,20190708,20211210,N
139,850339.SI,603681.SH,20190402,20211210,N
140,850339.SI,603683.SH,20171027,20211210,N
141,850339.SI,603722.SH,20171101,20211210,N
142,850339.SI,603722.SH,20220801,,Y
143,850339.SI,603725.SH,20190708,,Y
144,850339.SI,603822.SH,20160506,,Y
145,850339.SI,603867.SH,20190704,,Y
146,850339.SI,603879.SH,20170621,20211210,N
147,850339.SI,603906.SH,20211213,20230918,N
148,850339.SI,603916.SH,20171117,,Y
149,850339.SI,603938.SH,20170705,20190705,N
150,850339.SI,603948.SH,20200309,,Y
151,850339.SI,603949.SH,20200317,20211210,N
152,850339.SI,603968.SH,20150525,20211210,N
153,850339.SI,605155.SH,20210108,20211210,N
154,850339.SI,605366.SH,20200819,,Y
155,850339.SI,605399.SH,20200811,20211210,N
156,850339.SI,605589.SH,20210817,20211210,N
157,850339.SI,688065.SH,20230925,,Y
158,850339.SI,688133.SH,20230925,,Y
159,850339.SI,688179.SH,20230925,,Y
160,850339.SI,688196.SH,20230925,,Y
161,850339.SI,688199.SH,20230925,,Y
162,850339.SI,688267.SH,20230925,,Y
163,850339.SI,688269.SH,20230925,,Y
164,850339.SI,688350.SH,20230925,,Y
165,850339.SI,688357.SH,20230925,,Y
166,850339.SI,688398.SH,20230925,,Y
167,850339.SI,688625.SH,20230925,,Y
168,850339.SI,688659.SH,20230925,,Y
0,850382.SI,002326.SZ,20111010,,Y
1,850382.SI,002407.SZ,20111010,,Y
2,850382.SI,002915.SZ,20171212,,Y
3,850382.SI,300343.SZ,20230706,,Y
4,850382.SI,600160.SH,20111010,,Y
5,850382.SI,600378.SH,20211213,,Y
6,850382.SI,600636.SH,20111010,20190705,N
7,850382.SI,603379.SH,20190410,,Y
8,850382.SI,603505.SH,20211213,,Y
9,850382.SI,605020.SH,20210716,,Y
0,850372.SI,000755.SZ,20111010,20181119,N
1,850372.SI,000818.SZ,20111010,20170630,N
2,850372.SI,002061.SZ,20111010,20180713,N
3,850372.SI,002165.SZ,20111010,,Y
4,850372.SI,002246.SZ,20111010,20170630,N
5,850372.SI,002408.SZ,20111010,20211210,N
6,850372.SI,300200.SZ,20111010,,Y
7,850372.SI,300321.SZ,20211213,,Y
8,850372.SI,300343.SZ,20120808,20160630,N
9,850372.SI,300848.SZ,20200727,,Y
10,850372.SI,301090.SZ,20211102,20220729,N
11,850372.SI,301216.SZ,20220407,20220729,N
12,850372.SI,600230.SH,20111010,20140520,N
13,850372.SI,600230.SH,20140522,,Y
14,850372.SI,600309.SH,20111010,,Y
15,850372.SI,600339.SH,20111010,20170630,N
16,850372.SI,601678.SH,20111010,20190705,N
17,850372.SI,603026.SH,20150605,20211210,N
18,850372.SI,603041.SH,20170410,,Y
19,850372.SI,603192.SH,20180904,,Y
20,850372.SI,603330.SH,20170220,20211210,N
0,850135.SI,002166.SZ,20220801,,Y
1,850135.SI,002562.SZ,20110317,,Y
2,850135.SI,002597.SZ,20110714,,Y
3,850135.SI,300741.SZ,20180308,,Y
4,850135.SI,300829.SZ,20200429,,Y
5,850135.SI,300858.SZ,20200803,,Y
6,850135.SI,301156.SZ,20220624,,Y
7,850135.SI,301206.SZ,20220217,,Y
8,850135.SI,301220.SZ,20220629,,Y
9,850135.SI,600299.SH,20000427,,Y
10,850135.SI,600866.SH,19991230,,Y
11,850135.SI,600873.SH,20220801,,Y
12,850135.SI,603020.SH,20150401,,Y
13,850135.SI,603235.SH,20220719,,Y
14,850135.SI,603739.SH,20220801,,Y
15,850135.SI,603968.SH,20150525,,Y
16,850135.SI,605016.SH,20210428,,Y
17,850135.SI,605077.SH,20210223,,Y
18,850135.SI,688089.SH,20230925,,Y
19,850135.SI,688639.SH,20230925,,Y
0,850136.SI,002211.SZ,20080215,,Y
1,850136.SI,002909.SZ,20171102,,Y
2,850136.SI,300019.SZ,20091106,,Y
3,850136.SI,300041.SZ,20100115,,Y
4,850136.SI,300727.SZ,20171204,,Y
5,850136.SI,300821.SZ,20200319,,Y
6,850136.SI,600596.SH,20010913,20230705,N
7,850136.SI,603155.SH,20200908,,Y
8,850136.SI,603260.SH,20220801,,Y
9,850136.SI,603281.SH,20230207,,Y
10,850136.SI,605399.SH,20200811,,Y
0,850341.SI,000301.SZ,20190708,20211210,N
1,850341.SI,000652.SZ,19961128,20061009,N
2,850341.SI,000677.SZ,20170703,20211210,N
3,850341.SI,000703.SZ,20111010,20211210,N
4,850341.SI,000936.SZ,20070703,,Y
5,850341.SI,000976.SZ,20000601,20170630,N
6,850341.SI,002015.SZ,20040708,20200723,N
7,850341.SI,002064.SZ,20060831,20070702,N
8,850341.SI,002127.SZ,20111010,20170630,N
9,850341.SI,002206.SZ,20080131,,Y
10,850341.SI,002427.SZ,20100621,20221209,N
11,850341.SI,002427.SZ,20221213,,Y
12,850341.SI,002493.SZ,20111010,20211210,N
13,850341.SI,002998.SZ,20201012,,Y
14,850341.SI,301057.SZ,20210916,,Y
15,850341.SI,600061.SH,19970519,20160630,N
16,850341.SI,600094.SH,19970703,20080519,N
17,850341.SI,600094.SH,20111011,20120629,N
18,850341.SI,600094.SH,20151028,20160630,N
19,850341.SI,600259.SH,20000525,20070525,N
20,850341.SI,600259.SH,20090120,20100601,N
21,850341.SI,600346.SH,20170703,20211210,N
22,850341.SI,600370.SH,20220801,,Y
23,850341.SI,600527.SH,20031127,20211210,N
24,850341.SI,600617.SH,20051121,20110930,N
25,850341.SI,600667.SH,19930728,20120629,N
26,850341.SI,600699.SH,19931206,20120928,N
27,850341.SI,600871.SH,19950411,20130819,N
28,850341.SI,600871.SH,20130821,20150630,N
29,850341.SI,601233.SH,20110524,20211210,N
30,850341.SI,603073.SH,20230323,,Y
31,850341.SI,603225.SH,20170425,,Y
32,850341.SI,603332.SH,20190124,,Y
0,850343.SI,000420.SZ,19960802,,Y
1,850343.SI,000498.SZ,19970609,20080516,N
2,850343.SI,000498.SZ,20130218,20130628,N
3,850343.SI,000615.SZ,19961016,20160630,N
4,850343.SI,000650.SZ,19961210,20060512,N
5,850343.SI,000650.SZ,20070525,20070611,N
6,850343.SI,000677.SZ,19961226,20170630,N
7,850343.SI,000677.SZ,20211213,,Y
8,850343.SI,000687.SZ,19970221,20160630,N
9,850343.SI,000949.SZ,19991021,20211210,N
10,850343.SI,002172.SZ,20071008,20220729,N
11,850343.SI,300041.SZ,20100118,20100414,N
12,850343.SI,600409.SH,20211213,20220729,N
13,850343.SI,600889.SH,19960308,,Y
