,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
109,002709.SZ,20240221,18.18,19.31,18.12,18.81,18.4,0.41,2.2283,331602.26,626785.038
110,600959.SH,20240221,3.05,3.11,3.02,3.05,3.06,-0.01,-0.3268,467376.15,143253.72
111,603050.SH,20240221,15.86,16.36,15.71,16.0,15.94,0.06,0.3764,40932.18,65920.665
112,600645.SH,20240221,15.98,16.6,15.76,16.24,15.97,0.27,1.6907,92860.94,150949.782
113,603166.SH,20240221,4.89,5.26,4.81,5.1,4.94,0.16,3.2389,100048.36,51396.626
114,600405.SH,20240221,3.76,4.0,3.71,3.86,3.79,0.07,1.847,164755.33,64110.368
115,605028.SH,20240221,13.42,14.35,13.28,13.82,13.43,0.39,2.9039,22819.54,31810.482
116,600088.SH,20240221,20.87,23.69,19.88,22.45,21.58,0.87,4.0315,810527.06,1735288.702
117,688278.SH,20240221,59.19,61.83,58.0,59.32,59.34,-0.02,-0.0337,27858.96,168035.402
118,000753.SZ,20240221,3.06,3.23,3.0,3.11,3.06,0.05,1.634,128579.24,40380.878
119,002485.SZ,20240221,2.89,3.01,2.87,2.98,2.87,0.11,3.8328,62490.04,18497.846
120,600497.SH,20240221,4.98,5.09,4.96,5.0,5.0,0.0,0.0,869571.38,438624.618
121,001239.SZ,20240221,16.2,17.17,16.11,16.75,16.41,0.34,2.0719,86702.85,145440.852
122,601998.SH,20240221,6.34,6.68,6.31,6.57,6.37,0.2,3.1397,858215.65,561107.639
123,002297.SZ,20240221,5.64,5.95,5.64,5.79,5.74,0.05,0.8711,78330.21,45784.862
124,603213.SH,20240221,8.1,8.55,7.96,8.25,8.1,0.15,1.8519,40778.96,33872.482
125,600874.SH,20240221,5.27,5.41,5.23,5.29,5.28,0.01,0.1894,107637.53,57345.528
126,688443.SH,20240221,32.2,32.2,30.65,31.61,32.0,-0.39,-1.2188,18928.75,59284.258
